Journee,Team,Adversaire,H/A,resultat,p.,c.
13.0,EA Guingamp,Girondins de Bordeaux,H,1 - 1,1,1
13.0,Girondins de Bordeaux,EA Guingamp,A,1 - 1,1,1
13.0,Olympique de Marseille,SM Caen,H,1 - 0,1,0
13.0,SM Caen,Olympique de Marseille,A,1 - 0,0,1
13.0,AS Saint-Etienne,OGC Nice,H,0 - 1,0,1
13.0,OGC Nice,AS Saint-Etienne,A,0 - 1,1,0
14.0,Stade Rennais FC,Toulouse FC,H,1 - 0,1,0
14.0,Toulouse FC,Stade Rennais FC,A,1 - 0,0,1
14.0,AS Monaco,Olympique de Marseille,H,4 - 0,4,0
14.0,Olympique de Marseille,AS Monaco,A,4 - 0,0,4
14.0,Girondins de Bordeaux,Dijon FCO,H,3 - 2,3,2
14.0,Dijon FCO,Girondins de Bordeaux,A,3 - 2,2,3
14.0,SM Caen,EA Guingamp,H,1 - 1,1,1
14.0,EA Guingamp,SM Caen,A,1 - 1,1,1
14.0,FC Metz,FC Lorient,H,3 - 3,3,3
14.0,FC Lorient,FC Metz,A,3 - 3,3,3
14.0,Montpellier Hérault SC,AS Nancy Lorraine,H,0 - 0,0,0
14.0,AS Nancy Lorraine,Montpellier Hérault SC,A,0 - 0,0,0
14.0,FC Nantes,LOSC,H,0 - 0,0,0
14.0,LOSC,FC Nantes,A,0 - 0,0,0
14.0,Angers SCO,AS Saint-Etienne,H,1 - 2,1,2
14.0,AS Saint-Etienne,Angers SCO,A,1 - 2,2,1
14.0,OGC Nice,SC Bastia,H,1 - 1,1,1
14.0,SC Bastia,OGC Nice,A,1 - 1,1,1
14.0,Olympique Lyonnais,Paris Saint-Germain,H,1 - 2,1,2
14.0,Paris Saint-Germain,Olympique Lyonnais,A,1 - 2,2,1
15.0,LOSC,SM Caen,H,4 - 2,4,2
15.0,SM Caen,LOSC,A,4 - 2,2,4
15.0,FC Lorient,Stade Rennais FC,H,2 - 1,2,1
15.0,Stade Rennais FC,FC Lorient,A,2 - 1,1,2
15.0,Dijon FCO,AS Monaco,H,1 - 1,1,1
15.0,AS Monaco,Dijon FCO,A,1 - 1,1,1
15.0,SC Bastia,Girondins de Bordeaux,H,1 - 1,1,1
15.0,Girondins de Bordeaux,SC Bastia,A,1 - 1,1,1
